PK,SK,PROVINCE,COUNTY,BOROUGH,CITY,STREET
PL#12,12#61#05#Kraków-śródmieście#Zwierzyniecka,Małopolskie,Kraków,Kraków-śródmieście,Kraków-śródmieście,Zwierzyniecka
PL#12,12#61#05#Kraków-śródmieście#Asnyka,Małopolskie,Kraków,Kraków-śródmieście,Kraków-śródmieście,Asnyka
PL#12,12#61#05#Kraków-śródmieście,Małopolskie,Kraków,Kraków-śródmieście,Kraków-śródmieście,
PL#12,12#61#05#Kraków,Małopolskie,Kraków,Kraków,Kraków,
PL#04,04#63#02#Wroclawska,slaskie,Wroclaw,Wroclaw,Wroclaw,Wroclawska
PL#04,04#63#02#Wroclaw,slaskie,Wroclaw,Wroclaw,Wroclaw,
PL#04,04#63#03#Warszawska,mazowieckie,Warszawa,Warszawa,Warszawa,Warszawska
PL#04,04#63#03#Warszawska1,mazowieckie,Warszawa,Warszawa,Warszawa,Warszawska1
PL#04,04#63#03#Warszawska2,mazowieckie,Warszawa,Warszawa,Warszawa,Warszawska2
PL#04,04#63#03#Warszawska3,mazowieckie,Warszawa,Warszawa,Warszawa,Warszawska3
PL#04,04#63#03#Warszawska4,mazowieckie,Warszawa,Warszawa,Warszawa,Warszawska4
PL#04,04#63#03#Warszawska5,mazowieckie,Warszawa,Warszawa,Warszawa,Warszawska5
PL#04,04#63#03#Warszawska6,mazowieckie,Warszawa,Warszawa,Warszawa,Warszawska6
PL#04,04#63#03#Warszawska7,mazowieckie,Warszawa,Warszawa,Warszawa,Warszawska7
PL#04,04#63#03#Warszawa,mazowieckie,Warszawa,Warszawa,Warszawa,
